Arteries-1,Arteries-2,Arteries-3,Arteries-4,Arteries-5,Arteries-6,Arteries-7,Arteries-8,Arteries-9,Arteries-10
Bifurcation of pulmonary trunk,Right atrium,Anterior inferior cerebellar artery.r,Transverse facial artery.l,Posterior deep temporal artery.r,Middle meningeal artery.r,Posterior lateral nasal branches of sphenopalatine artery..r,Superior labial artery.r,Mental branch of inferior alveolar artery.l,Ascending pharyngeal artery.r
Pulmonary trunk,Right ventricle,Basilar artery,Inferior alveolar artery.r,Posterior deep temporal artery.l,Accessory branch of middle meningeal artery.r,Posterior lateral nasal branches of sphenopalatine artery..l,Superior labial artery.l,Mental branch of inferior alveolar artery.r,Ascending pharyngeal artery.l
Inferior lingular artery of left lung,Left atrium,Superior cerebellar artery.r,Inferior alveolar artery.l,Ophthalmic artery.r,Middle meningeal artery.l,Middle temporal artery.r,Angular artery.r,?x.r,Frontal branch of superficial temporal artery.r
Apical segmental artery of left lung,Left ventricle,Right coronary artery,Posterior cerebral artery.r,Ophthalmic artery.l,Accessory branch of middle meningeal artery.l,Middle temporal artery.l,Inferior labial artery.r,?x.l,Frontal branch of superficial temporal artery.l
Posterior segmental artery of left lung,Facial artery.r,Circumflex artery of heart,Posterior inferior cerebellar artery.r,Callosomarginal artery.r,Artery of pterygoid canal.r,Anterior parietal artery.r,Submental artery.r,Short posterior ciliary arteries.r,Mylohyoid branch of inferior alveolar artery.r
Anterior segmental artery of left lung,Facial artery.l,Anterior interventricular artery,Posterior inferior cerebellar artery.l,Callosomarginal artery.l,Artery of pterygoid canal.l,Anterior parietal artery.l,Angular artery.l,Short posterior ciliary arteries.l,Mylohyoid branch of inferior alveolar artery.l
Lateral basal segmental artery of left lung,Superficial temporal artery.r,Left coronary artery,Transverse facial artery.r,Pericallosal artery.r,Prefrontal artery.r,Subcostal artery.l,Inferior labial artery.l,Anterior ethmoidal artery.r,Posterior superior alveolar artery.r
Posterior basal segmental artery of left lung,Superficial temporal artery.l,[Right posterolateral branch],Inferior suprarenal artery.l,Pericallosal artery.l,Prefrontal artery.l,Subcostal artery.r,Submental artery.l,Anterior septal branches of anterior ethmoidal artery.l,Posterior superior alveolar artery.l
Medial basal segmental artery of left lung,Maxillary artery.r,Septal branches of anterior interventricular artery,Inferior suprarenal artery.r,Orbitofrontal branches of anterior cerebral artery.r,Middle cerebral artery (M3-segment).r,Musculophrenic artery.l,Occipital artery.r,Anterior ethmoidal artery.l,?.r
Anterior basal segmental artery of left lung,Maxillary artery.l,Inferior phrenic artery,Anterior inferior pancreaticoduodenal artery,Orbitofrontal branches of anterior cerebral artery.l,Middle cerebral artery (M3-segment).l,Musculophrenic artery.r,Occipital artery.l,Anterior septal branches of anterior ethmoidal artery.r,Long posterior ciliary arteries.r
Left pulmonary artery,Middle cerebral artery (M1-segment).r,Splenic artery,Colic branch of ileocolic artery,Proximal lateral striate branches.r,Parieto-occipital artery.r,Second posterior intercostal artery.l,Anterior deep temporal artery.r,Septal branches of posterior ethmoidal artery.r,Long posterior ciliary arteries.l
Right pulmonary artery,Middle cerebral artery (M1-segment).l,Superior mesenteric artery,Ileocolic artery,Distal lateral striate branches.r,Posterior septal branches of sphenopalatine artery.r,Second posterior intercostal artery.r,Anterior deep temporal artery.l,Septal branches of posterior ethmoidal artery.l,Posterior ethmoidal artery.r
Apical segmental artery of right lung,Internal carotid artery.r,Proper hepatic artery,Ileal branch of ileocolic artery,Proximal lateral striate branches.l,Posterior septal branches of sphenopalatine artery.l,,Central retinal artery.r,Anterior temporal branch.r,Posterior ethmoidal artery.l
Anterior segmental artery of right lung,Internal carotid artery.l,Coeliac trunk,Appendicular artery,Distal lateral striate branches.l,Transverse cervical artery.l,,Central retinal artery.l,Anterior temporal branch.l,Lacrimal artery.r
Posterior basal segmental artery of right lung,Posterior communicating artery.r,Left gastric artery,Marginal artery,Insular branches of middle cerebral artery (M2).r,(Superficial branch of transverse cervical artery).l,,Posterior temporal branch.r,Medial occipital artery.r,Supra-orbital artery.r
Anterior basal segmental artery of right lung,Posterior communicating artery.l,Common hepatic artery,Right colic artery,Insular branches of middle cerebral artery (M2).l,First posterior intercostal artery.l,,Posterior temporal branch.l,Medial occipital artery.l,Supratrochlear artery.r
Medial basal segmental artery of right lung,Anterior cerebral artery.r,Gastroduodenal artery,Intrarenal arteries of left kidney,Anterior communicating artery,First posterior intercostal artery.r,,Posterior parietal artery.r,,Lacrimal artery.l
Medial segmental artery of right lung,Anterior cerebral artery.l,Anterior branch of renal artery.r,Intrarenal arteries of right kidney,Lateral pontine branches of basilar artery.r,Costocervical trunk.l,,Artery of central sulcus.r,,Supra-orbital artery.l
Lateral segmental artery of right lung,External carotid artery.r,Anterior branch of renal artery.l,Descending branch of left colic artery,Medial pontine branches of basilar artery.r,Costocervical trunk.r,,Artery of precentral sulcus.r,,Supratrochlear artery.l
