Head,Neck,Left upper limb,Right upper limb,Left lower limb,Right lower limb,Cranium,Back,Fasciae,Arteries of heart,Cardiac veins,Pulmonary arteries,Pulmonary veins,Systemic arteries,Systemic veins,Neurocranium,Viscerocranium,Trunk,Thorax,Digestive canal,Bones of left foot,Bones of right foot,Bones of left hand,Bones of right hand,Cartilages,Regions of trunk,Digestive system,Spinal cord,Bursae,Tendon sheaths,Mandible,Maxilla,Axial skeleton,Appendicular skeleton,Spine
Parietal bone.r,Hyoid bone,Clavicle.l,Clavicle.r,Patella.l,Patella.r,Sinus of frontal bone,Longissimus muscles.j,Superficial layer of temporal fascia.r,Right coronary artery,Great cardiac vein,Right pulmonary artery,Posterior vein of right lung,Bifurcation of pulmonary trunk,Right superior pulmonary vein,Parietal bone.r,Inferior nasal concha bone.r,Spinal dura,Fifth rib.r,Oesophagus,Talus.l,Talus.r,Distal phalanx of first finger of hand.l,Distal phalanx of first finger of hand.r,Major alar cartilage.l,Epigastric region.r,Salivary glands.g,Spinal dura,Subtendinous bursa of trapezius muscle.r,Intertubercular tendon sheath.r,Mandible,Maxilla.r,Parietal bone.r,Clavicle.r,Atlas (C1)
Parietal bone.l,Thyroid cartilage,Humerus.l,Humerus.r,Talus.l,Talus.r,Frontal bone,Suboccipital muscles.g,Masseteric fascia.r,Circumflex artery of heart,????????,Apical segmental artery of right lung,Inferior basal vein of right lung,Pulmonary trunk,Medial vein of right lung,Parietal bone.l,Inferior nasal concha bone.l,Nucleus pulposus L5-S1,First rib.r,Stomach,Calcaneus.l,Calcaneus.r,Distal phalanx of second finger of hand.l,Distal phalanx of second finger of hand.r,Major alar cartilage.r,Epigastric region.l,Salivary glands.j,Cauda equina,Subtendinous bursa of trapezius muscle.l,Intertubercular tendon sheath.l,Lower medial incisor.r,Upper medial incisor.r,Parietal bone.l,Humerus.r,Vertebra C6
Sinus of frontal bone,Cricoid cartilage,Acromial facet.s,Distal phalanx of first finger of hand.r,Calcaneus.l,Calcaneus.r,Occipital bone,Suboccipital muscles.j,Superficial layer of temporal fascia.l,Anterior interventricular artery,Middle cardiac vein,Anterior segmental artery of right lung,Superior basal vein of right lung,Superior lobar artery of right lung,Apical vein of right lung,Sinus of frontal bone,Lacrimal bone.r,Nucleus pulposus L4-L5,Fourth rib.r,Duodenum,Navicular bone.l,Navicular bone.r,Distal phalanx of third finger of hand.l,Distal phalanx of third finger of hand.r,Lateral process of nasal septal cartilage.l,Umbilical region.r,Major salivary glands.g,Gracile fasciculus,Subcutaneous acromial bursa.r,Tendon sheath of flexor pollicis longus.r,Lower lateral incisor.r,Upper lateral incisor.r,Sinus of frontal bone,Patella.r,Vertebra C3
Frontal bone,Arytenoid cartilage.r,Acromial end.s,Distal phalanx of second finger of hand.r,Navicular bone.l,Navicular bone.r,Sinus of sphenoid bone,Nucleus pulposus L5-S1,Masseteric fascia.l,Left coronary artery,Inferior vein of left ventricle (//Posterior ''),Posterior basal segmental artery of right lung,Apical vein of right lung,Apical segmental artery of right lung,Posterior vein of right lung,Frontal bone,Lacrimal bone.l,Nucleus pulposus L3-L4,Second rib.r,Jejunum,Cuboid bone.l,Cuboid bone.r,Distal phalanx of fourth finger of hand.l,Distal phalanx of fourth finger of hand.r,Lateral process of nasal septal cartilage.r,Umbilicus.r,Major salivary glands.j,Cuneate fasciculus,Subcutaneous acromial bursa.l,Tendon sheath of flexor pollicis longus.l,Lower canine.r,Upper canine.r,Frontal bone,Talus.r,Vertebra C5
Occipital bone,Corniculate cartilage.r,Body of clavicle.s,Distal phalanx of third finger of hand.r,Cuboid bone.l,Cuboid bone.r,Sphenoid bone,Nucleus pulposus L4-L5,Superficial investing cervical fascia.r,Right inferolateral branch of right coronary artery,Coronary sinus,Anterior basal segmental artery of right lung,Anterior vein of right lung,Anterior segmental artery of right lung,Anterior vein of right lung,Occipital bone,Nasal bone.r,Nucleus pulposus L2-L3,Seventh rib.r,Free taenia,Intermediate cuneiform bone.l,Intermediate cuneiform bone.r,Distal phalanx of fifth finger of hand.l,Distal phalanx of fifth finger of hand.r,Nasal septal cartilage,Umbilical region.l,Uvula of palate,Central canal,Subacromial bursa.r,Tendon sheath of flexor carpi radialis.r,Lower first premolar.r,Upper first premolar.r,Occipital bone,Calcaneus.r,Vertebra C7
Sinus of sphenoid bone,Atlas (C1),Conoid tubercle.s,Distal phalanx of fourth finger of hand.r,Intermediate cuneiform bone.l,Intermediate cuneiform bone.r,Ethmoid bone,Nucleus pulposus L3-L4,Superficial investing cervical fascia.l,Septal branches of anterior interventricular artery,Inferior vein of left ventricle,Medial basal segmental artery of right lung,Lateral vein of right lung,Posterior segmental artery of right lung,Lateral vein of right lung,Sinus of sphenoid bone,Nasal bone.l,Nucleus pulposus L1-L2,Sixth rib.r,Mesocolic taenia,Lateral cuneiform bone.l,Lateral cuneiform bone.r,Middle phalanx of second finger of hand.l,Middle phalanx of second finger of hand.r,Thyroid cartilage,Umbilicus.l,Palate.g,Medial vestibulospinal tract,Subacromial bursa.l,Tendon sheath of flexor carpi radialis.l,Lower second premolar.r,Upper second premolar.r,Sinus of sphenoid bone,Navicular bone.r,Vertebra C4
Sphenoid bone,Vertebra C6,Groove for subclavius muscle.s,Distal phalanx of fifth finger of hand.r,Lateral cuneiform bone.l,Lateral cuneiform bone.r,Parietal bone.r,Nucleus pulposus L2-L3,Posterior layer of thoracolumbar fascia.r,,,Medial segmental artery of right lung,Right superior pulmonary vein,Middle lobar artery of right lung,Inferior basal vein of right lung,Sphenoid bone,Vomer,Nucleus pulposus T12-L1,Third rib.r,Omental taenia,Medial cuneiform bone.l,Medial cuneiform bone.r,Middle phalanx of third finger of hand.l,Middle phalanx of third finger of hand.r,Cricoid cartilage,Hypochondriac region.r,Palate.j,Intermediomedial nucleus,Subdeltoid bursa.r,Common flexor tendon sheath.r,Lower first molar tooth.r,Upper first molar tooth.r,Sphenoid bone,Cuboid bone.r,Vertebra T2
Temporal bone.r,Vertebra C3,Impression for costoclavicular ligament.s,Middle phalanx of second finger of hand.r,Medial cuneiform bone.l,Medial cuneiform bone.r,Parietal bone.l,Nucleus pulposus L1-L2,Middle layer of thoracolumbar fascia.r,,,Lateral segmental artery of right lung,Medial vein of right lung,Posterior basal segmental artery of right lung,Superior vein of right lung,Temporal bone.r,Maxilla.r,Nucleus pulposus T11-T12,Eleventh rib.r,Sigmoid colon,First metatarsal bone.l,First metatarsal bone.r,Middle phalanx of fourth finger of hand.l,Middle phalanx of fourth finger of hand.r,Arytenoid cartilage.r,Hypogastric region.r,Gingiva,Nucleus proprius,Subdeltoid bursa.l,Common flexor tendon sheath.l,Lower second molar tooth.r,Upper second molar tooth.r,Temporal bone.r,Intermediate cuneiform bone.r,Vertebra T3
Ethmoid bone,Vertebra C5,Sternal articular surface.s,Middle phalanx of third finger of hand.r,First metatarsal bone.l,First metatarsal bone.r,Temporal bone.r,Nucleus pulposus T12-L1,Anterior layer of thoracolumbar fascia.r,,,Superior segmental artery of right lung,Superior vein of right lung,Inferior lobar artery of right lung,Superior basal vein of right lung,Ethmoid bone,Maxilla.l,Nucleus pulposus T10-T11,Twelfth rib.r,Ascending colon,Fifth metatarsal bone.l,Fifth metatarsal bone.r,Middle phalanx of fifth finger of hand.l,Middle phalanx of fifth finger of hand.r,Arytenoid cartilage.l,Inguinal region.r,Soft palate,Intermediolateral nucleus,Coracobrachial bursa.r,Tendon sheath - abd. pollicis longus - ext. pollicis brevis.l,Lower medial incisor.l,Maxilla.l,Ethmoid bone,Lateral cuneiform bone.r,Vertebra T4
