Bones-1,Bones-2,Bones-3,Bones-4,Bones-5,Bones-6,Bones-7,Bones-8,Bones-9,Bones-10
Stapes.r,Sphenoid bone,Hip bone.r,Parietal bone.r,Lacrimal bone.r,Maxilla.r,Radius.r,Distal phalanx of fifth finger of foot.l,Distal phalanx of first finger of hand.r,Sinus of frontal bone
Stapes.l,Inferior nasal concha bone.r,Hip bone.l,Parietal bone.l,Lacrimal bone.l,Maxilla.l,Radius.l,Distal phalanx of fifth finger of foot.r,Distal phalanx of second finger of hand.r,Frontal bone
Incus.r,Inferior nasal concha bone.l,Costal cartilage of first rib.r,Ethmoid bone,Nasal bone.r,Lower medial incisor.r,Fibula.r,Distal phalanx of first finger of foot.l,Distal phalanx of third finger of hand.r,Mandible
Incus.l,Temporal bone.r,Costal cartilage of second rib.r,Zygomatic bone.r,Nasal bone.l,Lower lateral incisor.r,Fibula.l,Distal phalanx of first finger of foot.r,Distal phalanx of fourth finger of hand.r,Major alar cartilage.l
Malleus.r,Fifth rib.l,Costal cartilage of third rib.r,Zygomatic bone.l,Vomer,Lower canine.r,Ulna.l,Distal phalanx of fourth finger of foot.r,Distal phalanx of fifth finger of hand.r,Major alar cartilage.r
Malleus.l,Fifth rib.r,Costal cartilage of fourth rib.r,Hyoid bone,Palatine bone.r,Lower medial incisor.l,Ulna.r,Distal phalanx of fourth finger of foot.l,Middle phalanx of second finger of hand.r,Lateral process of nasal septal cartilage.l
Occipital bone,First rib.l,Costal cartilage of fifth rib.r,Cricoid cartilage,Palatine bone.l,Lower lateral incisor.l,Tibia.l,Distal phalanx of second finger of foot.l,Middle phalanx of third finger of hand.r,Lateral process of nasal septal cartilage.r
Atlas (C1),First rib.r,Costal cartilage of sixth rib.r,Clavicle.r,Upper medial incisor.r,Lower canine.l,Tibia.r,Distal phalanx of second finger of foot.r,Middle phalanx of fourth finger of hand.r,
Vertebra C6,Fourth rib.l,Costal cartilage of seventh rib.r,Clavicle.l,Upper lateral incisor.r,Lower first premolar.r,,Distal phalanx of third finger of foot.l,Middle phalanx of fifth finger of hand.r,
Vertebra C3,Fourth rib.r,Costal cartilage of eighth rib.r,Humerus.r,Upper canine.r,Lower second premolar.r,,Distal phalanx of third finger of foot.r,Proximal phalanx of first finger of hand.r,
Vertebra C5,Second rib.l,Costal cartilage of tenth rib.r,Talus.r,Upper medial incisor.l,Lower first molar tooth.r,,Middle phalanx of second finger of foot.r,Proximal phalanx of second finger of hand.r,
Vertebra C7,Second rib.r,Costal cartilage of ninth rib.r,Talus.l,Upper lateral incisor.l,Lower second molar tooth.r,,Middle phalanx of third finger of foot.r,Proximal phalanx of third finger of hand.r,
Vertebra C4,Seventh rib.l,Costal cartilage of first rib.l,Calcaneus.r,Upper canine.l,Lower first premolar.l,,Middle phalanx of fourth finger of foot.r,Proximal phalanx of fourth finger of hand.r,
Vertebra T2,Seventh rib.r,Costal cartilage of second rib.l,Calcaneus.l,Upper first premolar.r,Lower second premolar.l,,Middle phalanx of fifth finger of foot.r,Proximal phalanx of fifth finger of hand.r,
Vertebra T3,Sixth rib.l,Costal cartilage of third rib.l,Navicular bone.r,Upper second premolar.r,Lower first molar tooth.l,,Proximal phalanx of first finger of foot.r,Distal phalanx of first finger of hand.l,
Vertebra T4,Sixth rib.r,Costal cartilage of fourth rib.l,Navicular bone.l,Upper first molar tooth.r,Lower second molar tooth.l,,Proximal phalanx of second finger of foot.r,Distal phalanx of second finger of hand.l,
Vertebra T5,Third rib.l,Costal cartilage of fifth rib.l,Cuboid bone.r,Upper second molar tooth.r,Nasal septal cartilage,,Proximal phalanx of third finger of foot.r,Distal phalanx of third finger of hand.l,
Vertebra T6,Third rib.r,Costal cartilage of sixth rib.l,Cuboid bone.l,Upper first premolar.l,Thyroid cartilage,,Proximal phalanx of fourth finger of foot.r,Distal phalanx of fourth finger of hand.l,
