Deltoid muscle,Pectoralis major muscle,Biceps brachii muscle,Quadriceps femoris muscle,Biceps femoris muscle,Trochanteric insertion,Masseter,Iliopsoas muscle,Triceps brachii muscle,Triceps surae muscle,Pronator teres,Erector spinae,Splenius muscles,Semispinalis muscles,Multifidus muscles,Common flexor tendon,Common extensor tendon,Flexor carpi ulnaris,Flexor digitorum superficialis,Extensor digitorum longus,Extensor carpi ulnaris,Adductor hallucis,Adductor pollicis,Flexor pollicis brevis,Trapezius muscle,Lateral intertransversarii lumborum muscles,,Superior oblique muscle,Nasalis muscle,Orbicularis oculi muscle,Orbicularis ori muscle,Lateral pterygoid muscle,Medial pterygoid muscle,Sternocleidomastoid muscle,Digastric muscle,Omohyoid muscle,Cricothyroid muscle,Levatores costarum
Acromial part of deltoid muscle,Clavicular head of pectoralis major muscle,Long head of biceps brachii,Articularis genus muscle,Long head of biceps femoris,Superior gemellus muscle,Deep part of masseter,Iliacus muscle,Long head of triceps brachii,Medial head of gastrocnemius,Deep head of pronator teres,Iliocostalis lumborum muscle,Splenius colli muscle,Semispinalis thoracis muscles,Multifidus thoracis muscles,Flexor carpi radialis,Extensor digitorum,Humeral head of flexor carpi ulnaris,Humero-ulnar head of flexor digitorum superficialis,Tendon of extensor digitorum longus,Humeral head of extensor carpi ulnaris,Oblique head of adductor hallucis,Oblique head of adductor pollicis,Superficial head of flexor pollicis brevis,Ascending part of trapezius muscle,Dorsal parts of lateral intertransversarii lumborum muscles,,Trochlea of superior oblique muscle,Transverse part of nasalis muscle,Palpebral part of orbicularis oculi muscle,Marginal part of orbicularis ori muscle,Superior head of lateral pterygoid muscle,Deep head of medial pterygoid muscle,Sternal head of sternocleidomastoid muscle,Anterior belly of digastric muscle,Superior belly of omohyoid muscle,Straight part of cricothyroid muscle,Levatores longi costarum
Clavicular part of deltoid muscle,Sternocostal head of pectoralis major muscle,Short head of biceps brachii,Vastus intermedius muscle,Short head of biceps femoris,Inferior gemellus muscle,Superficial part of masseter,Psoas major,Medial head of triceps brachii,Lateral head of gastrocnemius,Superficial head of pronator teres,Iliocostalis thoracis muscle,Splenius capitis muscle,Semispinalis colli muscles,Multifidus colli muscles,Palmaris longus muscle,Extensor digiti minimi,Ulnar head of flexor carpi ulnaris,Radial head of flexor digitorum superficialis,Extensor digitorum longus,Ulnar head of extensor carpi ulnaris,Transverse head of adductor hallucis,Transverse head of adductor pollicis,Deep head of flexor pollicis brevis,Transverse part of trapezius muscle,Ventral parts of lateral intertransversarii lumborum muscles,,Tendon sheath of superior oblique muscle,Alar part of nasalis muscle,Orbital part of orbicularis oculi muscle,Labial part of orbicularis ori muscle,Inferior head of lateral pterygoid muscle,Superficial head of medial pterygoid muscle,Clavicular head of sternocleidomastoid muscle,Posterior belly of digastric muscle,Inferior belly of omohyoid muscle,Oblique part of cricothyroid muscle,Levatores breves costarum
Scapular spinal part of deltoid muscle,(Abdominal part of pectoralis major muscle),,Vastus medialis muscle,,Obturator internus,,Psoas minor,Lateral head of triceps brachii,Soleus muscle,,Iliocostalis colli muscle,,Semispinalis capitis muscles,Multifidus capitis muscles,Humeral head of flexor carpi ulnaris,Humeral head of extensor carpi ulnaris,,,,,,,,Descending part of trapezius muscle,,,,,,,,,,Intermediate tendon of digastric muscle,Intermediate tendon of omohyoid muscle,,
,,,Vastus Lateralis muscle,,,,,,Calcaneal tendon,,Longissimus thoracis muscle,,,,Ulnar head of flexor carpi ulnaris,,,,,,,,,,,,,,,,,,,,,,
,,,Rectus femoris muscle,,,,,,,,Longissimus colli muscle,,,,Humero-ulnar head of flexor digitorum superficialis,,,,,,,,,,,,,,,,,,,,,,
,,,Patellar ligament,,,,,,,,Longissimus capitis muscle,,,,Radial head of flexor digitorum superficialis,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Spinalis muscles,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Spinalis thoracis muscles,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Spinalis colli muscles,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Spinalis capitis muscles,,,,,,,,,,,,,,,,,,,,,,,,,,
