Axillary nerve,Dorsal scapular nerve,Lateral pectoral nerve,Long thoracic nerve,Median nerve,Radial nerve,Suprascapular nerve,Ulnar nerve,Thoracodorsal nerve,Superior subscapular nerve,Inferior subscapular nerve,Superior gluteal nerve,Nerve to piriformis muscle,Nerve to quadratus femoris muscle,Pudendal nerve,Sciatic nerve,Obturator nerve,Femoral nerve,Tibial nerve,Medial plantar nerve,Lateral plantar nerve,Superficial fibular nerve,Deep fibular nerve,Oculomotor nerve (III),Trochlear nerve (IV),Trigeminal nerve (V),Abducens nerve (VI),Facial nerve (VII),Glossopharyngeal nerve (IX),Vagus nerve (X),Accessory nerve (XI),Hypoglossal nerve (XII)
Acromial part of deltoid muscle,Levator scapulae,Clavicular head of pectoralis major muscle,Serratus anterior muscle,Proper palmar digital branches of median nerve,Deep branch of radial nerve,Supraspinatus muscle,Dorsal digital branches of ulnar nerve,Latissimus dorsi muscle,Subscapularis muscle,Teres major muscle,Tensor fasciae latae,Piriformis muscle,Quadratus femoris muscle,External anal sphincter,Sural nerve,Posterior branch of obturator nerve,Iliacus muscle,Adductor magnus,Proper plantar digital branches of medial plantar nerve,Common plantar digital branches of lateral plantar nerve,Dorsal digital branches of superficial fibular nerve,Dorsal digital branches of deep fibular nerve,Common tendinous ring,Superior oblique muscle,Mental nerve,Lateral rectus muscle,Temporoparietalis muscle,Stylopharyngeus muscle,Superior pharyngeal constrictor,Sternocleidomastoid muscle,Genioglossus muscle
Clavicular part of deltoid muscle,Rhomboid major muscle,Sternocostal head of pectoralis major muscle,,Common palmar digital branches of median nerve,Superficial branch of radial nerve,Infraspinatus muscle,Dorsal branch of ulnar nerve,,,Subscapularis muscle,Gluteus medius muscle,,,,Sural communicating branch of common fibular nerve,Anterior branch of obturator nerve,Rectus femoris muscle,Long head of biceps femoris,Common plantar digital branches of medial plantar nerve,Proper plantar digital branches of lateral plantar nerve,Medial dorsal cutaneous nerve of foot,Muscular branches of deep fibular nerve,Inferior oblique muscle,,Nerve to mylohyoid muscle,,Nasalis muscle,,Middle pharyngeal constrictor,Ascending part of trapezius muscle,Hyoglossus muscle
Scapular spinal part of deltoid muscle,Rhomboid minor muscle,(Abdominal part of pectoralis major muscle),,(Communicating branch of median nerve with ulnar nerve),Dorsal digital branches of radial nerve,,Proper palmar digital branches of ulnar nerve,,,,Gluteus minimus muscle,,,,Medial sural cutaneous nerve,Adductor magnus,Vastus lateralis muscle,Short head of biceps femoris,Medial head of flexor hallucis brevis,Oblique head of adductor hallucis,Intermediate dorsal cutaneous nerve of foot,Extensor digitorum longus,Inferior rectus muscle,,Buccal nerve,,Orbital part of orbicularis oculi,,Inferior pharyngeal constrictor,Descending part of trapezius muscle,
Teres minor muscle,,,,Palmar branch of median nerve,Muscular branches of radial nerve,,Common palmar digital branches of ulnar nerve,,,,Gluteus minimus muscle,,,,Dorsal digital branches of superficial fibular nerve,Adductor longus,Vastus medialis muscle,Semimembranosus muscle,Lateral head of flexor hallucis brevis,Transverse head of adductor hallucis,Fibularis longus muscle,Tendon of extensor digitorum longus,Inferior tarsus,,Posterior division of mandibular nerve,,Frontalis muscle,,Palatopharyngeus muscle,Transverse part of trapezius muscle,
,,,,Muscular branches of median nerve,Medial head of triceps brachii,,Superficial branch of ulnar nerve,,,,,,,,Superficial fibular nerve,Adductor brevis,Vastus intermedius muscle,Semitendinosus muscle,Abductor hallucis,Abductor digiti minimi of foot,Fibularis brevis muscle,Tibialis anterior muscle,Levator palpebrae superioris,,Anterior division of mandibular nerve,,Occipitalis muscle,,Straight part of cricothyroid muscle,,
,,,,Flexor carpi radialis,Lateral head of triceps brachii,,Palmar branch of ulnar nerve,,,,,,,,Medial dorsal cutaneous nerve of foot,Obturator internus,Sartorius muscle,Lateral head of gastrocnemius,Lumbrical muscles of foot,Dorsal interossei muscles of foot,,Fibularis tertius muscle,Medial rectus muscle,,Lingual nerve,,Epicranial aponeurosis,,Oblique part of cricothyroid muscle,,
,,,,Palmaris longus muscle,Long head of triceps brachii,,Deep branch of ulnar nerve,,,,,,,,Intermediate dorsal cutaneous nerve of foot,Gracilis muscle,Pectineus muscle,Medial head of gastrocnemius,,Flexor digiti minimi of foot,,Extensor hallucis longus,Superior rectus muscle,,Maxillary nerve,,Palpebral part of orbicularis oculi,,Posterior crico-arytenoid muscle,,
,,,,Superficial head of pronator teres,Brachioradialis muscle,,Muscular branches of ulnar nerve,,,,,,,,Dorsal digital branches of deep fibular nerve,,,Calcaneal tendon,,Lumbrical muscles of foot,,Extensor digitorum brevis,Superior tarsus,,Ophthalmic nerve,,Orbicularis oris muscle,,Lateral crico-arytenoid muscle,,
,,,,Deep head of pronator teres,Extensor carpi radialis longus,,Humeral head of flexor carpi ulnaris,,,,,,,,Muscular branches of deep fibular nerve,,,Soleus muscle,,Plantar interossei muscles,,Extensor hallucis brevis,,,Meningeal branch of maxillary nerve,,Zygomaticus major muscle,,External part of thyro-arytenoid muscle,,
,,,,Humero-ulnar head of flexor digitorum superficialis,Extensor carpi radialis brevis,,Ulnar head of flexor carpi ulnaris,,,,,,,,Deep fibular nerve,,,Plantaris muscle,,Quadratus plantae muscle,,,,,Inferior alveolar nerve,,Corrugator supercilii,,Thyro-epiglottic part of thyro-arytenoid muscle,,
,,,,Radial head of flexor digitorum superficialis,Anconeus muscle,,Flexor digitorum profundus,,,,,,,,Tibial nerve,,,Flexor digitorum longus,,,,,,,Motor root of trigeminal nerve,,Depressor anguli oris,,Ary-epiglottic part of oblique arytenoid muscle,,
,,,,Flexor digitorum profundus,,,Abductor digiti minimi of hand,,,,,,,,Proper plantar digital branches of medial plantar nerve,,,Tibialis posterior muscle,,,,,,,Sensory root of trigeminal nerve,,Depressor labii inferioris,,Transverse arytenoid muscle,,
,,,,Flexor pollicis longus,,,Flexor digiti minimi of hand,,,,,,,,Common plantar digital branches of lateral plantar nerve,,,Flexor hallucis longus,,,,,,,Medial pterygoid muscle,,Levator anguli oris,,,,
,,,,Pronator quadratus,,,Opponens digiti minimi muscle of hand,,,,,,,,Lateral plantar nerve,,,,,,,,,,Superficial part of masseter,,Procerus muscle,,,,
,,,,Superficial head of flexor pollicis brevis,,,Lumbrical muscles of hand,,,,,,,,Medial plantar nerve,,,,,,,,,,Deep part of masseter,,Risorius muscle,,,,
,,,,Deep head of flexor pollicis brevis,,,Dorsal interossei muscles of hand,,,,,,,,Common fibular nerve,,,,,,,,,,Inferior head of lateral pterygoid muscle,,Zygomaticus minor muscle,,,,
,,,,Oblique head of adductor pollicis,,,Palmar interossei muscles,,,,,,,,Proper plantar digital branches of lateral plantar nerve,,,,,,,,,,Superior head of lateral pterygoid muscle,,Levator labii superioris,,,,
,,,,Transverse head of adductor pollicis,,,,,,,,,,,Common plantar digital branches of medial plantar nerve,,,,,,,,,,Temporalis muscle,,Depressor septi nasi,,,,
,,,,Abductor pollicis brevis,,,,,,,,,,,Superior gluteal nerve,,,,,,,,,,Mylohyoid muscle,,Mentalis muscle,,,,
,,,,Opponens pollicis muscle,,,,,,,,,,,Nerve to piriformis muscle,,,,,,,,,,Anterior belly of digastric muscle,,Levator nasolabialis,,,,
,,,,Lumbrical muscles of hand,,,,,,,,,,,Long head of biceps femoris,,,,,,,,,,,,Bucinator,,,,
,,,,,,,,,,,,,,,Short head of biceps femoris,,,,,,,,,,,,Stylohyoid muscle,,,,
,,,,,,,,,,,,,,,Semimembranosus muscle,,,,,,,,,,,,Posterior belly of digastric muscle,,,,
,,,,,,,,,,,,,,,Semitendinosus muscle,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Extensor digitorum longus,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Tendon of extensor digitorum longus,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Tibialis anterior muscle,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Fibularis tertius muscle,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Extensor hallucis longus,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Fibularis longus muscle,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Fibularis brevis muscle,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Lateral head of gastrocnemius,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Medial head of gastrocnemius,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Calcaneal tendon,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Soleus muscle,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Plantaris muscle,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Flexor digitorum longus,,,,,,,,,,,,,,,,
,,,,,,,Oblique head of adductor hallucis,,,,,,,,Popliteus muscle,,,,,,,,,,,,,,,,
,,,,,,,Transverse head of adductor hallucis,,,,,,,,Tibialis posterior muscle,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Flexor hallucis longus,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Medial head of flexor hallucis brevis,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Lateral head of flexor hallucis brevis,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Oblique head of adductor hallucis,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Transverse head of adductor hallucis,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Abductor digiti minimi of foot,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Abductor hallucis,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Extensor digitorum brevis,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Extensor hallucis brevis,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Dorsal interossei muscles of foot,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Flexor digitorum brevis,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Flexor digiti minimi of foot,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Lumbrical muscles of foot,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,(Opponens digiti minimi muscle of foot),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Plantar interossei muscles,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Quadratus plantae muscle,,,,,,,,,,,,,,,,
