Ligaments-1,Ligaments-2,Ligaments-3,Ligaments-4,Ligaments-5,Ligaments-6,Ligaments-7,Ligaments-8,Ligaments-9,Ligaments-10
Intervertebral disc C2-C3,Anterior longitudinal ligament,Sphenomandibular ligament.r,Stylomandibular ligament.r,Stylohyoid ligament.r,External intercostal membrane.r,Ulnotriquetral ligament.r,Articular capsules of metacarpophalangeal joints.r,Articular capsules of metatarsophalangeal joints.r,Articular capsule of sternoclavicular joint.r
Intervertebral disc C3-C4,Posterior longitudinal ligament,Sphenomandibular ligament.l,Pterygospinous ligament.r,Stylohyoid ligament.l,Internal intercostal membrane.r,Dorsal radiocarpal ligament.r,Articular capsules of metacarpophalangeal joints.l,Articular capsules of metatarsophalangeal joints.l,Articular capsule of sternoclavicular joint.l
Intervertebral disc C4-C5,Intertransverse ligaments.r,Lateral temporomandibular ligament.l,Stylomandibular ligament.l,Articular capsule of temporomandibular joint.r,External intercostal membrane.l,Dorsal ulnocarpal ligament.r,Articular capsules of proximal interphalangeal joints.r,Articular capsules of distal interphalangeal joints of foot.r,Articular capsule of glenohumeral joint.r
Intervertebral disc C5-C6,Ligamenta flava,Articular disc of temporomandibular joint.r,Pterygospinous ligament.l,Articular capsule of temporomandibular joint.l,Internal intercostal membrane.l,Ulnotriquetral ligament.l,Articular capsules of distal interphalangeal joints.r,Articular capsule of interphalangeal joint of great toe.r,Articular capsule of glenohumeral joint.l
Intervertebral disc C6-C7,Intercornual ligament.r,Lateral temporomandibular ligament.r,Lateral thyrohyoid ligament.r,Quadrangular membrane.r,Articular disc of acromioclavicular joint.r,Dorsal radiocarpal ligament.l,Articular capsules of proximal interphalangeal joints.l,Articular capsules of proximal interphalangeal joints of foot.r,Articular capsule of elbow joint.r
Intervertebral disc C7-T1,Intertransverse ligaments.l,Articular disc of temporomandibular joint.l,Lateral thyrohyoid ligament.l,Quadrangular membrane.l,Articular disc of acromioclavicular joint.l,Dorsal ulnocarpal ligament.l,Articular capsules of distal interphalangeal joints.l,Articular capsules of distal interphalangeal joints of foot.l,Articular capsule of elbow joint.l
Intervertebral disc L1-L2,Intercornual ligament.l,Intra-articular ligament of head of rib.r,Median cricothyroid ligament.r,Cricopharyngeal ligament.r,Interosseous membrane of forearm.r,Popliteofibular ligament.r,,Articular capsule of interphalangeal joint of great toe.l,Articular capsule of radiocarpal joint.r
Intervertebral disc L2-L3,Interspinous ligaments,Intra-articular ligament of head of rib,Median cricothyroid ligament.l,Cricopharyngeal ligament.l,Interosseous membrane of forearm.l,Popliteofibular ligament.l,,Articular capsules of proximal interphalangeal joints of foot.l,Articular capsule of radiocarpal joint.l
Intervertebral disc L3-L4,Nuchal ligament,Radiate ligament of head of rib.l,Superior transverse scapular ligament.r,Coraco-acromial ligament.r,Articular disc of distal radio-ulnar joint.r,Articular capsule of superior tibiofibular joint.l,,,Articular capsule of hip joint.r
Intervertebral disc L4-L5,Supraspinous ligament,Radiate ligament of head of rib.r,Inferior transverse scapular ligament.r,Coraco-acromial ligament.l,Articular disc of distal radio-ulnar joint.l,Articular capsule of superior tibiofibular joint.r,,,Articular capsule of hip joint.l
Intervertebral disc L5-S1,,Costotransverse ligament.r,Superior transverse scapular ligament.l,Acromioclavicular joint's capsule.r,Palmar radio-ulnar ligament.l,Lateral talocalcaneal ligament.r,,,Articular capsule of knee joint.r
