Lymph-1,Lymph-2,Lymph-3,Lymph-4,Lymph-5,Lymph-6,Lymph-7,Lymph-8,Lymph-9,Lymph-10
Left lobe of thymus,Occipital nodes.l,Nasolabial node.l,Intermediate common iliac nodes,Superficial parotid nodes.l,Pretraqueal nodes.r,Lateral superior jugular node.r,Intercostal nodes.r,Intrapulmonary nodes,Juxta-intestinal mesenteric nodes
Right lobe of thymus,Bucinator node.l,Mandibular node.l,Median sacral nodes,Superficial parotid nodes.r,Jugulodigastric node.r,Lateral superior jugular node.l,Intercostal nodes.l,Paracolic superior mesenteric nodes,Middle colic nodes
Spleen,Submental nodes.l,Pre-auricular nodes.r,Superior gluteal nodes.r,Thyroid nodes.r,Pretraqueal nodes.l,Prevertebral nodes,Pre-aortic nodes,(Lateral lacunar node).r,
,Infra-auricular nodes.l,Intraglandular parotid nodes.r,Superior gluteal nodes.l,Anterior inferior jugular nodes.r,Jugulodigastric node.l,Intermediate lumbar nodes,Sigmoid nodes,(Lateral lacunar node).l,
,Occipital nodes.r,Pre-auricular nodes.l,Pararectal nodes,Superficial lateral cervical nodes.r,Prepericardial nodes,(Subpyloric nodes),(Intermediate lacunar node).r,,
,Bucinator node.r,Intraglandular parotid nodes.l,Posterior axillary nodes.r,Inferior deep lateral cervical nodes.r,Precaval nodes,Superior pancreaticoduodenal nodes,(Intermediate lacunar node).l,,
,Submental nodes.r,Nasolabial node.r,Posterior axillary nodes.l,Thyroid nodes.l,Lateral caval nodes,Obturator nodes.r,,,
,Infra-auricular nodes.r,Mandibular node.r,Cubital nodes.l,Anterior inferior jugular nodes.l,Right gastro-omental nodes,Obturator nodes.l,,,
,Supraclavicular nodes.r,Paratracheal cervical nodes,Apical axillary nodes.l,Superficial lateral cervical nodes.l,Inferior pancreatic nodes,Superomedial superficial inguinal nodes.l,,,
,Superficial anterior cervical nodes,Parasternal nodes.r,Apical axillary nodes.r,Inferior deep lateral cervical nodes.l,Central superior mesenteric nodes,Superomedial superficial inguinal nodes.r,,,
,Supraclavicular nodes.l,Inferior diaphragmatic nodes,Cubital nodes.r,Node of ligamentum arteriosum,Ileocolic nodes,Supratrochlear nodes.l,,,
,Brachiocephalic nodes,Paratracheal thoracic nodes,(Fibular node).l,Lateral pericardial nodes,Lateral common iliac nodes,Supratrochlear nodes.r,,,
,Inferior tracheobronchial nodes,Right gastric nodes,(Fibular node).r,Superior tracheobronchial nodes,Intermediate external iliac nodes.r,,,,
,Retrocaval nodes,(Retropyloric nodes),(Medial lacunar node).r,Lateral aortic nodes,Intermediate external iliac nodes.l,,,,
,Parasternal nodes.l,Splenic nodes,Superolateral superficial inguinal nodes.l,Superior diaphragmatic nodes,Inferior gluteal nodes.r,,,,
,Inferior epigastric nodes.l,Right colic nodes,Superolateral superficial inguinal nodes.r,Coeliac nodes,Inferior gluteal nodes.l,,,,
,Superior pancreatic nodes,Left colic nodes,(Medial lacunar node).l,Appendicular nodes,Prevesical nodes,,,,
,Cystic node,Retropharyngeal nodes.r,,Subaortic nodes,Lateral axillary nodes.l,,,,
,Precaecal nodes,Mastoid nodes.l,Retrocaecal nodes,Lateral sacral nodes.r,Lateral axillary nodes.r,,,,
,Medial common iliac nodes,Palatine tonsil.l,Postvesical nodes,Lateral sacral nodes.l,Inferior superficial inguinal nodes.r,,,,
,Medial external iliac nodes.r,Submandibular nodes.l,Infraclavicular nodes.l,Lateral vesical nodes.r,Inferior superficial inguinal nodes.l,,,,
,Medial external iliac nodes.l,Retropharyngeal nodes.l,Infraclavicular nodes.r,Lateral vesical nodes.l,,,,,
,Inferior epigastric nodes.r,Mastoid nodes.r,Deep popliteal nodes.l,Interpectoral nodes.l,,,,,
,Brachial nodes.r,Palatine tonsil.r,Deep popliteal nodes.r,Central axillary nodes.l,,,,,
,Anterior axillary nodes.r,Submandibular nodes.r,(Posterior tibial node).l,Central axillary nodes.r,,,,,
,Brachial nodes.l,Juxta-oesophageal nodes,(Posterior tibial node).r,Interpectoral nodes.r,,,,,
,Anterior axillary nodes.l,Node of arch of azygos vein,(Intermediate deep inguinal node).l,,,,,,
,Superficial popliteal nodes.l,Retro-aortic nodes,(Intermediate deep inguinal node).r,,,,,,
,Superficial popliteal nodes.r,,Lymph node,,,,,,
,(Anterior tibial node).l,,Deep parotid nodes,,,,,,
,(Anterior tibial node).r,,Pretracheal nodes.r,,,,,,
,(Proximal deep inguinal node).l,,Pretracheal nodes.l,,,,,,
,(Proximal deep inguinal node).r,,(Suprapyloric node),,,,,,
