Muscles-1,Muscles-2,Muscles-3,Muscles-4,Muscles-5,Muscles-6,Muscles-7,Muscles-8,Muscles-9,Muscles-10
Levator anguli oris.l,Genioglossus muscle.r,Superior oblique muscle.l,Lateral rectus muscle.l,Inferior tarsus.r,Nasalis muscle.r,Palpebral part of orbicularis oculi.r,Orbital part of orbicularis oculi.r,Frontalis muscle.r,Subtendinous bursa of trapezius muscle.r
Geniohyoid muscle.r,Genioglossus muscle.l,Superior oblique muscle.r,Lateral rectus muscle.r,Levator palpebrae superioris.r,Nasalis muscle.l,Palpebral part of orbicularis oculi.l,Orbital part of orbicularis oculi.l,Occipitalis muscle.r,Subtendinous bursa of trapezius muscle.l
Geniohyoid muscle.l,Palatopharyngeus muscle.r,Common tendinous ring.r,Inferior rectus muscle.r,Superior tarsus.r,Corrugator supercilii.r,Zygomaticus major muscle.r,Orbicularis oris muscle.r,Epicranial aponeurosis.r,Subcutaneous acromial bursa.r
External part of thyro-arytenoid muscle.r,Palatopharyngeus muscle.l,Inferior oblique muscle.r,Medial rectus muscle.r,Inferior tarsus.l,Depressor anguli oris.r,Procerus muscle.r,Orbicularis oris muscle.l,Frontalis muscle.l,Subcutaneous acromial bursa.l
External part of thyro-arytenoid muscle.l,Stylopharyngeus muscle.r,Trochlea of superior oblique muscle.r,Superior rectus muscle.r,Levator palpebrae superioris.l,Levator labii superioris.r,Zygomaticus minor muscle.r,Risorius muscle.r,Occipitalis muscle.l,Subacromial bursa.r
Ary-epiglottic part of oblique arytenoid muscle.r,Stylopharyngeus muscle.l,Common tendinous ring.l,Inferior rectus muscle.l,Superior tarsus.l,Depressor septi nasi.r,Zygomaticus major muscle.l,Risorius muscle.l,Epicranial aponeurosis.l,Subacromial bursa.l
Ary-epiglottic part of oblique arytenoid muscle.l,Oblique part of cricothyroid muscle.r,Inferior oblique muscle.l,Medial rectus muscle.l,Depressor labii inferioris.r,Corrugator supercilii.l,Procerus muscle.l,Superficial part of masseter.r,Temporoparietalis muscle.r,Subdeltoid bursa.r
Transverse arytenoid muscle,Straight part of cricothyroid muscle.r,Trochlea of superior oblique muscle.l,Superior rectus muscle.l,Levator anguli oris.r,Depressor anguli oris.l,Zygomaticus minor muscle.l,Superficial part of masseter.l,Temporoparietalis muscle.l,Subdeltoid bursa.l
Lateral crico-arytenoid muscle.r,Oblique part of cricothyroid muscle.l,Medial pterygoid muscle.r,Mentalis muscle.r,Levator nasolabialis.r,Levator labii superioris.l,Deep part of masseter.r,Sternocleidomastoid muscle.r,Platysma.r,Coracobrachial bursa.r
Lateral crico-arytenoid muscle.l,Straight part of cricothyroid muscle.l,Medial pterygoid muscle.l,Bucinator.r,Depressor labii inferioris.l,Temporalis muscle.r,Deep part of masseter.l,Sternocleidomastoid muscle.l,Platysma.l,Coracobrachial bursa.l
Posterior crico-arytenoid muscle.r,Obliquus inferior capitis muscle.r,Inferior head of lateral pterygoid muscle.r,Mentalis muscle.l,Depressor septi nasi.l,Temporalis muscle.l,Omohyoid muscle.r,Rhomboid major muscle.r,Ascending part of trapezius muscle.r,Subtendinous bursa of infraspinatus muscle.r
Posterior crico-arytenoid muscle.l,Obliquus superior capitis muscle.r,Superior head of lateral pterygoid muscle.r,Bucinator.l,Levator nasolabialis.l,Intermediate tendon of digastric muscle.r,Omohyoid muscle.l,Latissimus dorsi muscle.r,Descending part of trapezius muscle.r,Subtendinous bursa of infraspinatus muscle.l
Scalenus posterior muscle.r,Rectus posterior major capitis muscle.r,Inferior head of lateral pterygoid muscle.l,Sternothyroid muscle.r,Mylohyoid muscle.r,Anterior belly of digastric muscle.r,Levator scapulae.r,Rhomboid major muscle.l,Transverse part of trapezius muscle.r,Subtendinous bursa of teres major muscle.r
Longus capitis muscle.r,Rectus posterior minor capitis muscle.r,Superior head of lateral pterygoid muscle.l,Sternothyroid muscle.l,Mylohyoid muscle.l,Posterior belly of digastric muscle.r,Rhomboid minor muscle.r,Latissimus dorsi muscle.l,Ascending part of trapezius muscle.l,Subtendinous bursa of teres major muscle.l
Longus colli muscle.r,Obliquus inferior capitis muscle.l,Hyoglossus muscle.r,Iliocostalis thoracis muscle.r,Thyrohyoid muscle.r,Intermediate tendon of digastric muscle.l,Serratus posterior inferior muscle.r,Clavicular head of pectoralis major muscle.r,Descending part of trapezius muscle.l,Subtendinous bursa of triceps brachii muscle.r
Rectus anterior capitis muscle.r,Obliquus superior capitis muscle.l,Hyoglossus muscle.l,Iliocostalis colli muscle.r,Thyrohyoid muscle.l,Anterior belly of digastric muscle.l,Levator scapulae.l,Sternocostal head of pectoralis major muscle.r,Transverse part of trapezius muscle.l,Subtendinous bursa of triceps brachii muscle.l
Rectus lateralis capitis muscle.r,Rectus posterior major capitis muscle.l,Superior pharyngeal constrictor.r,Iliocostalis thoracis muscle.l,Scalenus medius muscle.r,Posterior belly of digastric muscle.l,Rhomboid minor muscle.l,(Abdominal part of pectoralis major muscle).r,External abdominal oblique muscle.r,Bicipitoradial bursa.r
Scalenus posterior muscle.l,Rectus posterior minor capitis muscle.l,Superior pharyngeal constrictor.l,Iliocostalis colli muscle,Scalenus anterior muscle.r,Stylohyoid muscle.r,Serratus posterior inferior muscle.l,Clavicular head of pectoralis major muscle.l,External abdominal oblique muscle.l,Bicipitoradial bursa.l
Longus capitis muscle.l,Semispinalis thoracis muscle.r,Middle pharyngeal constrictor.r,Longissimus capitis muscle.r,Scalenus medius muscle.l,Stylohyoid muscle.l,Pectoralis minor muscle.r,Sternocostal head of pectoralis major muscle.l,Acromial part of deltoid muscle.r,Subcutaneous trochanteric bursa.r
Longus colli muscle.l,Semispinalis colli muscle.r,Middle pharyngeal constrictor.l,Longissimus colli muscle.r,Scalenus anterior muscle.l,Sternohyoid muscle.r,Pectoralis minor muscle.l,(Abdominal part of pectoralis major muscle).l,Clavicular part of deltoid muscle.r,Subcutaneous trochanteric bursa.l
Rectus anterior capitis muscle.l,Semispinalis thoracis muscle.l,Inferior pharyngeal constrictor.r,Longissimus capitis muscle.l,Splenius capitis muscle.r,Sternohyoid muscle.l,Rectus abdominis muscle.r,Internal abdominal oblique muscle.r,Scapular spinal part of deltoid muscle.r,Trochanteric bursa of gluteus medius muscle.r
Rectus lateralis capitis muscle.l,Semispinalis colli muscle.l,Inferior pharyngeal constrictor.l,Longissimus colli muscle.l,Splenius colli muscle.r,Iliocostalis lumborum muscle.r,Rectus abdominis muscle.l,Internal abdominal oblique muscle.l,Acromial part of deltoid muscle.l,Trochanteric bursa of gluteus maximus muscle.r
Multifidus colli muscle.r,Rotatores.l,Thyro-epiglottic part of thyro-arytenoid muscle.r,Interspinales colli muscles.r,Splenius capitis muscle.l,Iliocostalis lumborum muscle.l,Supraspinatus muscle.r,Infraspinatus muscle.r,Clavicular part of deltoid muscle.l,Trochanteric bursa of gluteus maximus muscle.l
Multifidus thoracis muscle.r,Rotatores.r,Thyro-epiglottic part of thyro-arytenoid muscle.l,Interspinales thoracis muscles.r,Splenius colli muscle.l,Longissimus thoracis muscle.r,Teres minor muscle.r,Infraspinatus muscle.l,Scapular spinal part of deltoid muscle.l,Trochanteric bursa of gluteus medius muscle.l
Multifidus lumborum muscle.r,Levatores breves costarum.r,Spinalis capitis muscle.r,Interspinales lumborum muscles.r,Serratus anterior muscle.r,Longissimus thoracis muscle.l,Supraspinatus muscle.l,Humeral head of flexor carpi ulnaris.r,Brachioradialis muscle.r,Trochanteric bursa of gluteus minimus muscle.r
Multifidus colli muscle.l,Levatores breves costarum.l,Spinalis colli muscle.r,Interspinales colli muscles.l,Transversus thoracis muscle.r,Serratus posterior superior muscle.r,Teres minor muscle.l,Humeral head of flexor carpi ulnaris.l,Brachioradialis muscle.l,Trochanteric bursa of gluteus minimus muscle.l
Multifidus thoracis muscle.l,Diaphragm,Spinalis thoracis muscle.r,Interspinales thoracis muscles.l,Serratus anterior muscle.l,Serratus posterior superior muscle.l,Superficial head of pronator teres.r,Extensor carpi radialis longus.r,Gluteus maximus muscle.r,Bursa of piriformis muscle.r
Multifidus lumborum muscle.l,Iliococcygeus muscle.r,Spinalis capitis muscle.l,Interspinales lumborum muscles.l,Transversus thoracis muscle.l,External intercostal muscles.r,Superficial head of pronator teres.l,Extensor carpi radialis longus.l,Tensor fasciae latae.r,Bursa of piriformis muscle.l
Dorsal parts of lateral intertransversarii lumborum muscles.r,Iliococcygeus muscle.l,Spinalis colli muscle.l,Internal intercostal muscles.r,Linea alba,Subclavius muscle.r,Palmaris longus muscle.r,Abductor pollicis brevis.r,Gluteus maximus muscle.l,Sciatic bursa of obturator internus.r
Ventral parts of lateral intertransversarii lumborum muscles.r,Flexor pollicis longus.r,Spinalis thoracis muscle.l,Internal intercostal muscles.l,Pyramidalis muscle.r,External intercostal muscles.l,Palmaris longus muscle.l,Abductor digiti minimi of hand.r,Tensor fasciae latae.l,Sciatic bursa of obturator internus.l
Dorsal parts of lateral intertransversarii lumborum muscles.l,Flexor pollicis longus.l,Levatores longi costarum.r,Quadratus lumborum muscle.r,Pyramidalis muscle.l,Subclavius muscle.l,Extensor digitorum.r,Gluteus medius muscle.r,Lateral head of gastrocnemius.r,Subtendinous bursa of obturator internus.r
Ventral parts of lateral intertransversarii lumborum muscles.l,Ulnar head of extensor carpi ulnaris.r,Levatores longi costarum.l,Quadratus lumborum muscle.l,Teres major muscle.r,Transversus abdominis muscle.r,Extensor digitorum.l,Gluteus medius muscle.l,Medial head of gastrocnemius.r,Subtendinous bursa of obturator internus.l
Coccygeus muscle.r,Ulnar head of extensor carpi ulnaris.l,Innermost intercostal muscles.r,Medial head of triceps brachii.r,Teres major muscle.l,Transversus abdominis muscle.l,Gluteus minimus muscle.r,Sartorius muscle.r,Calcaneal tendon.r,Sciatic bursa of gluteus maximus muscle.r
Pubococcygeus muscle.r,Supinator.r,Innermost intercostal muscles.l,Medial head of triceps brachii.l,Brachialis muscle.r,Subscapularis muscle.r,Gluteus minimus muscle.l,Sartorius muscle.l,Lateral head of gastrocnemius.l,Sciatic bursa of gluteus maximus muscle.l
Coccygeus muscle.l,Supinator.l,Pubo-analis muscle.r,Flexor digitorum profundus.r,Brachialis muscle.l,Subscapularis muscle.l,Rectus femoris muscle.r,Long head of biceps femoris.r,Medial head of gastrocnemius.l,Intermuscular gluteal bursae.r
