Nerves-1,Nerves-2,Nerves-3,Nerves-4,Nerves-5,Nerves-6,Nerves-7,Nerves-8,Nerves-9,Nerves-10
Aqueduct of midbrain,Cranial nerves.g,Fourth ventricle,Anterior commissure,Falx cerebri,Uncinate fasciculus of cerebrum.l,whole_brain.l,Tonsil of cerebellum.l,Proper palmar digital branches of ulnar nerve.r,Temporal plane.r
Third ventricle,Corpus callosum,Central canal,Hippocampal commissure,Superior cerebellar peduncle.r,Superior longitudinal fasciculus.l,Uvula of vermis,Superior semilunar lobule.l,Superficial branch of ulnar nerve.r,Superior temporal gyrus (Lateral part).r
Sense organs.g,Habenula,Spinal dura,Interpeduncular fossa.l,Dorsal scapular nerve.r,Lateral corticospinal tract.l,Tuber of vermis,Inferior semilunar lobule.l,Muscular branches of ulnar nerve.r,Lateral occipitotemporal gyrus.r
Eye'.g,Mandibular nerve.g,Inferior colliculus.r,Interpeduncular fossa.r,Obturator nerve.r,Inferior fronto-occipital fasciculus.l,Pyramis of vermis,Gracile lobule.l,Proper palmar digital branches of median nerve.r,Medial occipitotemporal gyrus (Parahippocampal*).r
Eyeball.g,Spinal cord,Medial geniculate body.r,Posterior commissure,Tibial nerve.r,Arcuate fasciculus.l,Peduncle of flocculus.l,Biventral lobule.l,Muscular branches of median nerve.r,Inferior temporal sulcus.r
Accessory visual structures.g,Amygdaloid body.r,Optic chiasm.r,Septal nuclei,Lateral plantar nerve.r,Wing of central lobule.l,Nodule of vermis,Tonsil of cerebellum.r,Infrapatellar branch of saphenous nerve.r,Inferior temporal gyrus.r
Ear.g,Hippocampus.r,Optic tract.r,Septum pellucidum,Medial plantar nerve.r,Lingula of cerebellum,Folium of vermis,Superior semilunar lobule.r,Sural communicating branch of common fibular nerve.r,Middle temporal gyrus.r
Middle ear.g,Lateral geniculate body.r,Radial nerve.r,Caudate nucleus.r,Common fibular nerve.r,Central lobule,Flocculus.l,Inferior semilunar lobule.r,Medial sural cutaneous nerve.r,Superior temporal sulcus.r
External ear.g,Lateral ventricle.r,Roots of brachial plexus.r,Choroid plexus.r,Tentorium cerebelli.r,Wing of central lobule.r,Declive,Gracile lobule.r,Inferior lateral brachial cutaneous nerve.r,Occipitotemporal sulcus (Lateral part*).r
Internal ear.g,Stria terminalis.r,Anterior division of inferior trunk of brachial plexus.r,Fornix.r,Femoral branch of genitofemoral nerve.r,Auditory tube.r,Culmen,Biventral lobule.r,Proper palmar digital branches of ulnar nerve.l,Insula (Subcentral gyrus and ant. and post. sulci*).r
Lacrimal apparatus.g,Superior colliculus.r,Superior trunk of brachial plexus.r,Globus pallidus.r,Genital branch of genitofemoral nerve.r,Auditory tube.l,Peduncle of flocculus.r,Posterior quadrangular lobule.l,Proper palmar digital branches of median nerve.l,Cingulate gyrus and sulcus (Middle anterior part).r
Vestibular nuclei.r,Olfactory nerve (I).r,Middle trunk of brachial plexus.r,Lentiform nucleus.r,Inferior longitudinal fasciculus.r,Long thoracic nerve.r,Flocculus.r,Anterior quadrangular lobule.l,,Cingulate gyrus and sulcus (Middle posterior part).r
Tympanic membrane.r,Optic nerve (II).r,Posterior division of superior trunk of brachial plexus.r,Midbrain.r,Corticonuclear fibers.r,Suprascapular nerve.r,Middle cerebellar peduncle.l,Posterior quadrangular lobule.r,,Cingulate gyrus and sulcus (Posterior dorsal part).r
Vestibule.r,Oculomotor nerve (III).r,Posterior division of inferior trunk of brachial plexus.r,Putamen.r,Cingulum.r,Subclavian nerve.r,Middle cerebellar peduncle.r,Anterior quadrangular lobule.r,,Cingulate gyrus (Posteroventral part*).r
Cochlea.r,Trigeminal nerve (V).r,Inferior trunk of brachial plexus.r,Thalamus.r,Precommissural fibres.r,Lateral pectoral nerve.r,whole_brain.r,Anterior branch of medial antebrachial cutaneous nerve.r,,Lat_Fis-ant-Horizont.r
Lacrimal gland.r,Chorda tympani.r,Anterior division of middle trunk of brachial plexus.r,Musculocutaneous nerve.r,Superior cerebellar peduncle.l,Deep branch of radial nerve.r,Medulla oblongata.r,Posterior branch of medial antebrachial cutaneous nerve.r,,Lat_Fis-post.r
Ampulla of lacrimal canaliculus.l,Facial nerve (VII).r,Posterior division of middle trunk of brachial plexus.r,Ulnar nerve.r,Dorsal scapular nerve.l,Posterior interosseous nerve of forearm.r,Pons.r,Dorsal branch of ulnar nerve.r,,Posterior transverse collateral sulcus.r
Lacrimal canaliculus.r,Cochlear nerve.r,Anterior division of superior trunk of brachial plexus.r,Median nerve.r,Obturator nerve.l,Posterior antebrachial cutaneous nerve.r,Lateral antebrachial cutaneous nerve.r,Common palmar digital branches of ulnar nerve.r,,Sulcus interm_prim-Jensen.r
Lacrimal sac.r,Vestibular nerve.r,Mamillary body.r,Femoral nerve.r,Femoral branch of genitofemoral nerve.l,Medial antebrachial cutaneous nerve.r,Superficial branch of radial nerve.r,Common palmar digital branches of median nerve.r,,Temporal pole.l
Nasolacrimal duct.r,Glossopharyngeal nerve (IX).r,Red nucleus.r,Genitofemoral nerve.r,Genital branch of genitofemoral nerve.l,Anterior interosseous nerve of forearm.r,Palmar branch of ulnar nerve.r,Medial crural cutaneous branches of saphenous nerve.r,,Occipital pole.l
Suspensory ligament of eyeball.r,Accessory nerve (XI).r,Optic tract.l,Sciatic nerve.r,Tibial nerve.l,Lateral femoral cutaneous nerve.r,Deep branch of ulnar nerve.r,Sural nerve.r,,Central sulcus.l
Iris.r,Hypoglossal nerve (XII).r,Medial geniculate body.l,Axillary nerve.r,Lateral plantar nerve.l,Superficial fibular nerve.r,Medial brachial cutaneous nerve.r,Medial dorsal cutaneous nerve of foot.r,,Parieto-occipital sulcus.l
