English;Latin;Français;Español;Portugues
Vertical;Verticalis;Vertical;Vertical;Vertical
Horizontal;Horizontalis;Horizontal;Horizontal;Horizontal
Median;Medianus;Médian;Mediano;Mediana
Coronal;Coronalis;Coronal;Coronal;Coronal
Sagittal;Sagittalis;Sagittal;Sagital;Sagital
Right;Dexter;Droite;Derecho;Direito
Left;Sinister;Gauche;Izquierdo;Esquerda
Intermediate;Intermedius;Intermédiaire;Intermedio;Intermediário
Medial;Medialis;Médial;Medial;Medial
Lateral;Lateralis;Latéral;Lateral;Lateral
Anterior;Anterior;Antérieur;Anterior;Anterior
Posterior;Posterior;Postérieur;Posterior;Posterior
Ventral;Ventralis;Ventral;Ventral;Ventral
Dorsal;Dorsalis;Dorsal;Dorsal;Dorsal
Frontal;Frontalis;Frontal;Frontal;Frontal
Occipital;Occipitalis;Occipital;Occipital;Occipital
Superior;Superior;Supérieur;Superior;Superior
Inferior;Inferior;Inférieur;Inferior;Inferior
Cranial;Cranialis;Cranial;Craneal;Craniano
Caudal;Caudalis;Caudal;Caudal;Caudal
Rostral;Rostralis;Rostral;Rostral;Rostral
Apical;Apicalis;Apical;Apical;Apical
Basal;Basalis;Basal;Basal;Basal
Middle;Medius;Moyen;Medio;Meio
Transverse;Transversus;Transverse;Transverso;Transversal
Longitudinal;Longitudinalis;Longitudinal;Longitudinal;Longitudinal
Axial;Axialis;Axial;Axial;Axial
External;Externus;Externe;Externo;Externo
Internal;Internus;Interne;Interno;Interno
Luminal;Luminalis;Luminal;Luminal;Luminal
Superficial;Superficialis;Superficiel;Superficial;Superficial
Deep;Profundus;Profond;Profundo;Profundo
Proximal;Proximalis;Proximal;Proximal;Proximal
Distal;Distalis;Distal;Distal;Distal
Central;Centralis;Central;Central;Central
Peripheral;Periphericus;Périphérique;Periferico;Periférico
Radial;Radialis;Radial;Radial;Radial
Ulnar;Ulnaris;Ulnaire;Ulnar;Ulnar
Fibular;Fibularis;Fibulaire;Fibular;Fibular
Tibial;Tibialis;Tibial;Tibial;Tibial
Palmar;Palmaris;Palmaire;Palmar;Palmar
Plantar;Plantaris;Plantaire;Plantar;Plantar
Flexor;Flexorius;Fléchisseur;Flexor;Flexor
Extensor;Extensorius;Extenseur;Extensor;Extensor
Reference planes;Plana referentiae;Plans de référence;Planos de referencia;Planos de referência
Longitudinal planes;Plana longitudinalia;Coupes longitudinales;Planos longitudinales;Planos longitudinais
Coronal planes;Plana coronalia;Coupes frontales;Planos coronales;Planos coronais
Sagittal planes;Plana sagittalia;Coupes sagittales;Planos sagitales;Planos sagitais
Median plane;Planum medianum;Plan médian;Plano mediano;Plano mediano
Paramedian plane;Planum paramedianum;Plan paramédian;Plano paramediano;Plano paramediano
Transverse planes;Plana transversa;Plans transverses;Planos transversos;Planos transversais
